asin,name,date,rating,review,
B08CN7SJBX,Maaza-1-2L,2018-11-26,2,I do have it sometimes. But the quality has been reduced.,
B08CN7SJBX,Maaza-1-2L,2019-11-11,4,Original and nice,
B08CN7SJBX,Maaza-1-2L,2020-07-07,5,Best Mango Based Cool drink available in the market.Price is same as offline stores.,
B08CN7SJBX,Maaza-1-2L,2020-07-02,5,Good,
B08CN7SJBX,Maaza-1-2L,2020-04-30,1,When the product arrive it was kind of dirty. The product has the expiry date smudged out. The taste is horrible,
B08CN7SJBX,Maaza-1-2L,2019-08-22,5,Good.,
B08CN7SJBX,Maaza-1-2L,2019-08-13,5,Nice teast,
B08CN7SJBX,Maaza-1-2L,2019-04-29,4,:),
B08CN7SJBX,Maaza-1-2L,2020-07-08,1,Received this bottle for which the expiry date has already past. And there is no way I can return this.,
B08CN7SJBX,Maaza-1-2L,2018-11-04,3,Too sweet,
B08CN7SJBX,Maaza-1-2L,2018-11-26,2,I do have it sometimes. But the quality has been reduced.,
B08CN7SJBX,Maaza-1-2L,2019-11-11,4,Original and nice,
B08CN7SJBX,Maaza-1-2L,2020-07-07,5,Best Mango Based Cool drink available in the market.Price is same as offline stores.,
B08CN7SJBX,Maaza-1-2L,2020-07-02,5,Good,
B08CN7SJBX,Maaza-1-2L,2020-04-30,1,When the product arrive it was kind of dirty. The product has the expiry date smudged out. The taste is horrible,
B08CN7SJBX,Maaza-1-2L,2019-08-22,5,Good.,
B08CN7SJBX,Maaza-1-2L,2019-08-13,5,Nice teast,
B08CN7SJBX,Maaza-1-2L,2019-04-29,4,:),
B08CN7SJBX,Maaza-1-2L,2020-07-08,1,Received this bottle for which the expiry date has already past. And there is no way I can return this.,
B08CN7SJBX,Maaza-1-2L,2018-11-04,3,Too sweet,
B00GX9TS6O,PaperBoat-Aamras-Juice-250ml,2018-06-11,2,I got a product which is going to be expire in next one month.They are shipping the products which are going to be expire soon.MFG Date: 24/01/18Best Before: 23/07/18I can get the same product out which are manufactured in current month. I am facing the same issue with other products as well.,
B00GX9TS6O,PaperBoat-Aamras-Juice-250ml,2018-04-13,3,"Seller: CloudtailPrinted MRP: Rs. 30/- per 250 ml packPurchased for: Rs. 153/- (for 250 ml x 6 packs)Mfg. Date; 01/02/18Exp. Date: 31/07/18Made in: Haryana & Karnataka, INThe alphonso aam variety from the same brand has been unavailable for quite many months now, so I said to myself ""What the heck!"" and bought this instead. Taste is ok.",
B00GX9TS6O,PaperBoat-Aamras-Juice-250ml,2019-09-15,4,"Taste resembles that there is 45% mango pulp in solution. It tastes like a natural mango. If you are not being able to get natural mango shake during season, it may be preferred in off season over other mango juice like Frooti etc.",
B00GX9TS6O,PaperBoat-Aamras-Juice-250ml,2019-06-29,5,"Tastes good, one can make out no preservatives or sugar is added. But pls know it is not juice it is mango pulp (aamras). & i feel Paperboat is an Indian company, though not yet researched. All in all a good buy.",
B00GX9TS6O,PaperBoat-Aamras-Juice-250ml,2019-05-10,5,"Make sure amazon delivers you a fresh productI had issues with the month of packaging and all but as far as product is concerned, its really good.",
B00GX9TS6O,PaperBoat-Aamras-Juice-250ml,2018-04-23,5,"The best Aamras juice pack I have had, compelled me to try out other items by Paper Boat. They were packed with pulp and the original stuff, not like other brands giving in flavored cherry/papaya pulps.",
B00GX9TS6O,PaperBoat-Aamras-Juice-250ml,2019-04-12,5,The paper boat juices are excellent but poor availability on Amazon.Packet received totally damaged.,
B00GX9TS6O,PaperBoat-Aamras-Juice-250ml,2020-06-09,4,It's all perfect except the price per ltr of this aamras if it was around 120Rs/ltr then it would be nice.,
B00GX9TS6O,PaperBoat-Aamras-Juice-250ml,2018-04-29,3,"✔ Fresh juice with Pure Mango.✔ Pack feels little soft to hold.✔ Too much sweetness in drink, tastes like Mango Mood Candy (90's kids remember that)✔ Fresh Stock which has limited six months of expiry.✔ Value for money. Go for it.",
B00GX9TS6O,PaperBoat-Aamras-Juice-250ml,2020-05-28,4,"This is not like maaza,I drink maaza a lot but this is very thick  of mango juice.Pour into glass and drink",
